"(Server Name, Domain)",Servers known in domain
"('f.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('e.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('k.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('c.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('j.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('i.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('b.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('g.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('l.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('m.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('a.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('h.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('d.root-servers.net', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('g.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'e.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('a.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'e.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'c.gtld-servers.net.'}"
"('b.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'd.gtld-servers.net.', 'j.gtld-servers.net.', 'l.gtld-servers.net.', 'k.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'e.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'c.gtld-servers.net.'}"
