Server Name,Server Information
a.root-servers.net,"DNS information
Domain: Root Domain
Host: a.root-servers.net
IPv4 Addresses: 198.41.0.4 
IPv6 Addresses :2001:503:ba3e::2:30 
Description: VeriSign Inc."
b.root-servers.net,"DNS information
Domain: Root Domain
Host: b.root-servers.net
IPv4 Addresses: 199.9.14.201 
IPv6 Addresses :2001:500:200::b 
Description: University of Southern California (ISI)"
c.root-servers.net,"DNS information
Domain: Root Domain
Host: c.root-servers.net
IPv4 Addresses: 192.33.4.12 
IPv6 Addresses :2001:500:2::c 
Description: Cogent Communications"
d.root-servers.net,"DNS information
Domain: Root Domain
Host: d.root-servers.net
IPv4 Addresses: 199.7.91.13 
IPv6 Addresses :2001:500:2d::d 
Description: University of Maryland"
e.root-servers.net,"DNS information
Domain: Root Domain
Host: e.root-servers.net
IPv4 Addresses: 192.203.230.10 
IPv6 Addresses :2001:500:a8::e 
Description: NASA (Ames Research Center)"
f.root-servers.net,"DNS information
Domain: Root Domain
Host: f.root-servers.net
IPv4 Addresses: 192.5.5.241 
IPv6 Addresses :2001:500:2f::f 
Description: Internet Systems Consortium Inc."
g.root-servers.net,"DNS information
Domain: Root Domain
Host: g.root-servers.net
IPv4 Addresses: 192.112.36.4 
IPv6 Addresses :2001:500:12::d0d 
Description: US Department of Defense (NIC)"
h.root-servers.net,"DNS information
Domain: Root Domain
Host: h.root-servers.net
IPv4 Addresses: 198.97.190.53 
IPv6 Addresses :2001:500:1::53 
Description: US Army (Research Lab)"
i.root-servers.net,"DNS information
Domain: Root Domain
Host: i.root-servers.net
IPv4 Addresses: 192.36.148.17 
IPv6 Addresses :2001:7fe::53 
Description: Netnod"
j.root-servers.net,"DNS information
Domain: Root Domain
Host: j.root-servers.net
IPv4 Addresses: 192.58.128.30 
IPv6 Addresses :2001:503:c27::2:30 
Description: VeriSign Inc."
k.root-servers.net,"DNS information
Domain: Root Domain
Host: k.root-servers.net
IPv4 Addresses: 193.0.14.129 
IPv6 Addresses :2001:7fd::1 
Description: RIPE NCC"
l.root-servers.net,"DNS information
Domain: Root Domain
Host: l.root-servers.net
IPv4 Addresses: 199.7.83.42 
IPv6 Addresses :2001:500:9f::42 
Description: ICANN"
m.root-servers.net,"DNS information
Domain: Root Domain
Host: m.root-servers.net
IPv4 Addresses: 202.12.27.33 
IPv6 Addresses :2001:dc3::35 
Description: WIDE Project"
e.gtld-servers.net.,"DNS information
Domain: com
Host: e.gtld-servers.net.
IPv4 Addresses: 192.12.94.30 
IPv6 Addresses :2001:502:1ca1::30 
Description: Name server for domain ""com"""
k.gtld-servers.net.,"DNS information
Domain: com
Host: k.gtld-servers.net.
IPv4 Addresses: 192.52.178.30 
IPv6 Addresses :2001:503:d2d::30 
Description: Name server for domain ""com"""
a.gtld-servers.net.,"DNS information
Domain: com
Host: a.gtld-servers.net.
IPv4 Addresses: 192.5.6.30 
IPv6 Addresses :2001:503:a83e::2:30 
Description: Name server for domain ""com"""
d.gtld-servers.net.,"DNS information
Domain: com
Host: d.gtld-servers.net.
IPv4 Addresses: 192.31.80.30 
IPv6 Addresses :2001:500:856e::30 
Description: Name server for domain ""com"""
l.gtld-servers.net.,"DNS information
Domain: com
Host: l.gtld-servers.net.
IPv4 Addresses: 192.41.162.30 
IPv6 Addresses :2001:500:d937::30 
Description: Name server for domain ""com"""
b.gtld-servers.net.,"DNS information
Domain: com
Host: b.gtld-servers.net.
IPv4 Addresses: 192.33.14.30 
IPv6 Addresses :2001:503:231d::2:30 
Description: Name server for domain ""com"""
m.gtld-servers.net.,"DNS information
Domain: com
Host: m.gtld-servers.net.
IPv4 Addresses: 192.55.83.30 
IPv6 Addresses :2001:501:b1f9::30 
Description: Name server for domain ""com"""
f.gtld-servers.net.,"DNS information
Domain: com
Host: f.gtld-servers.net.
IPv4 Addresses: 192.35.51.30 
IPv6 Addresses :2001:503:d414::30 
Description: Name server for domain ""com"""
i.gtld-servers.net.,"DNS information
Domain: com
Host: i.gtld-servers.net.
IPv4 Addresses: 192.43.172.30 
IPv6 Addresses :2001:503:39c1::30 
Description: Name server for domain ""com"""
g.gtld-servers.net.,"DNS information
Domain: com
Host: g.gtld-servers.net.
IPv4 Addresses: 192.42.93.30 
IPv6 Addresses :2001:503:eea3::30 
Description: Name server for domain ""com"""
j.gtld-servers.net.,"DNS information
Domain: com
Host: j.gtld-servers.net.
IPv4 Addresses: 192.48.79.30 
IPv6 Addresses :2001:502:7094::30 
Description: Name server for domain ""com"""
c.gtld-servers.net.,"DNS information
Domain: com
Host: c.gtld-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses :2001:503:83eb::30 
Description: Name server for domain ""com"""
h.gtld-servers.net.,"DNS information
Domain: com
Host: h.gtld-servers.net.
IPv4 Addresses: 192.54.112.30 
IPv6 Addresses :2001:502:8cc::30 
Description: Name server for domain ""com"""
c0.org.afilias-nst.info.,"DNS information
Domain: org
Host: c0.org.afilias-nst.info.
IPv4 Addresses: 199.19.53.1 
IPv6 Addresses :2001:500:b::1 
Description: Name server for domain ""org"""
a2.org.afilias-nst.info.,"DNS information
Domain: org
Host: a2.org.afilias-nst.info.
IPv4 Addresses: 199.249.112.1 
IPv6 Addresses :2001:500:40::1 
Description: Name server for domain ""org"""
a0.org.afilias-nst.info.,"DNS information
Domain: org
Host: a0.org.afilias-nst.info.
IPv4 Addresses: 199.19.56.1 
IPv6 Addresses :2001:500:e::1 
Description: Name server for domain ""org"""
d0.org.afilias-nst.org.,"DNS information
Domain: org
Host: d0.org.afilias-nst.org.
IPv4 Addresses: 199.19.57.1 
IPv6 Addresses :2001:500:f::1 
Description: Name server for domain ""org"""
b0.org.afilias-nst.org.,"DNS information
Domain: org
Host: b0.org.afilias-nst.org.
IPv4 Addresses: 199.19.54.1 
IPv6 Addresses :2001:500:c::1 
Description: Name server for domain ""org"""
b2.org.afilias-nst.org.,"DNS information
Domain: org
Host: b2.org.afilias-nst.org.
IPv4 Addresses: 199.249.120.1 
IPv6 Addresses :2001:500:48::1 
Description: Name server for domain ""org"""
ns2.google.com.,"DNS information
Domain: google.com
Host: ns2.google.com.
IPv4 Addresses: 216.239.34.10 
IPv6 Addresses :2001:4860:4802:34::a 
Description: Name server for domain ""google.com"""
ns1.google.com.,"DNS information
Domain: google.com
Host: ns1.google.com.
IPv4 Addresses: 216.239.32.10 
IPv6 Addresses :2001:4860:4802:32::a 
Description: Name server for domain ""google.com"""
ns3.google.com.,"DNS information
Domain: google.com
Host: ns3.google.com.
IPv4 Addresses: 216.239.36.10 
IPv6 Addresses :2001:4860:4802:36::a 
Description: Name server for domain ""google.com"""
ns4.google.com.,"DNS information
Domain: google.com
Host: ns4.google.com.
IPv4 Addresses: 216.239.38.10 
IPv6 Addresses :2001:4860:4802:38::a 
Description: Name server for domain ""google.com"""
ns2.wikimedia.org.,"DNS information
Domain: wikipedia.org
Host: ns2.wikimedia.org.
IPv4 Addresses: 91.198.174.239 
IPv6 Addresses : No information
Description: Name server for domain ""wikipedia.org"""
ns1.wikimedia.org.,"DNS information
Domain: wikipedia.org
Host: ns1.wikimedia.org.
IPv4 Addresses: 208.80.153.231 
IPv6 Addresses : No information
Description: Name server for domain ""wikipedia.org"""
ns0.wikimedia.org.,"DNS information
Domain: wikipedia.org
Host: ns0.wikimedia.org.
IPv4 Addresses: 208.80.154.238 
IPv6 Addresses : No information
Description: Name server for domain ""wikipedia.org"""
a.ns.apple.com.,"DNS information
Domain: apple.com
Host: a.ns.apple.com.
IPv4 Addresses: 17.253.200.1 
IPv6 Addresses :2620:149:ae0::53 
Description: Name server for domain ""apple.com"""
b.ns.apple.com.,"DNS information
Domain: apple.com
Host: b.ns.apple.com.
IPv4 Addresses: 17.253.207.1 
IPv6 Addresses : No information
Description: Name server for domain ""apple.com"""
c.ns.apple.com.,"DNS information
Domain: apple.com
Host: c.ns.apple.com.
IPv4 Addresses: 204.19.119.1 
IPv6 Addresses :2620:171:800:714::1 
Description: Name server for domain ""apple.com"""
d.ns.apple.com.,"DNS information
Domain: apple.com
Host: d.ns.apple.com.
IPv4 Addresses: 204.26.57.1 
IPv6 Addresses :2620:171:801:714::1 
Description: Name server for domain ""apple.com"""
